"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","50","Example #1","api","Fri Mar 13 01:13:09 UTC 2026","passed","Fri Mar 13 01:13:09 UTC 2026","Products API > Scenario_4 - Fixed response time validation","../../.features-gen/api/features/api-automation.feature.spec.js","",""
"","3043","Example #3","api","Fri Mar 13 01:13:09 UTC 2026","passed","Fri Mar 13 01:13:12 UTC 2026","Products API > Scenario_4 - Dynamic response time validation","../../.features-gen/api/features/api-automation.feature.spec.js","",""
"","29","Example #1","api","Fri Mar 13 01:13:14 UTC 2026","passed","Fri Mar 13 01:13:14 UTC 2026","Products API > Scenario_4 - Invalid delay boundaries","../../.features-gen/api/features/api-automation.feature.spec.js","",""
"","34","Example #1","api","Fri Mar 13 01:13:09 UTC 2026","passed","Fri Mar 13 01:13:09 UTC 2026","Products API > Scenario_4 - Dynamic response time validation","../../.features-gen/api/features/api-automation.feature.spec.js","",""
"","136","Scenario_2 - Create a new product","api","Fri Mar 13 01:13:08 UTC 2026","passed","Fri Mar 13 01:13:09 UTC 2026","Products API","../../.features-gen/api/features/api-automation.feature.spec.js","",""
"","35","Example #2","api","Fri Mar 13 01:13:14 UTC 2026","passed","Fri Mar 13 01:13:14 UTC 2026","Products API > Scenario_4 - Invalid delay boundaries","../../.features-gen/api/features/api-automation.feature.spec.js","",""
"","1281","Example #1","web-chrome","Fri Mar 13 01:13:15 UTC 2026","passed","Fri Mar 13 01:13:16 UTC 2026","Web Automation > Scenario_2 - Add random item to cart and verify details","../../.features-gen/web/features/web-automation.feature.spec.js","",""
"","5048","Example #2","api","Fri Mar 13 01:13:09 UTC 2026","passed","Fri Mar 13 01:13:14 UTC 2026","Products API > Scenario_4 - Fixed response time validation","../../.features-gen/api/features/api-automation.feature.spec.js","",""
"","1110","Example #1","web-chrome","Fri Mar 13 01:13:18 UTC 2026","passed","Fri Mar 13 01:13:19 UTC 2026","Web Automation > Scenario_3 - Can sort items by name on inventory page","../../.features-gen/web/features/web-automation.feature.spec.js","",""
"","28","Example #3","api","Fri Mar 13 01:13:14 UTC 2026","passed","Fri Mar 13 01:13:14 UTC 2026","Products API > Scenario_4 - Invalid delay boundaries","../../.features-gen/api/features/api-automation.feature.spec.js","",""
"","5038","Example #4","api","Fri Mar 13 01:13:12 UTC 2026","passed","Fri Mar 13 01:13:17 UTC 2026","Products API > Scenario_4 - Dynamic response time validation","../../.features-gen/api/features/api-automation.feature.spec.js","",""
"","11708","Example #2","web-chrome","Fri Mar 13 01:13:19 UTC 2026","passed","Fri Mar 13 01:13:31 UTC 2026","Web Automation > Scenario_2 - Add random item to cart and verify details","../../.features-gen/web/features/web-automation.feature.spec.js","",""
"","27","Example #3","api","Fri Mar 13 01:13:09 UTC 2026","passed","Fri Mar 13 01:13:09 UTC 2026","Products API > Scenario_4 - Fixed response time validation","../../.features-gen/api/features/api-automation.feature.spec.js","",""
"","1429","Scenario_1 - Full checkout flow after removing an item from the cart","web-chrome","Fri Mar 13 01:13:21 UTC 2026","passed","Fri Mar 13 01:13:23 UTC 2026","Web Automation","../../.features-gen/web/features/web-automation.feature.spec.js","",""
"","91","Scenario_3 - Retrieve and partially update a product","api","Fri Mar 13 01:13:09 UTC 2026","passed","Fri Mar 13 01:13:09 UTC 2026","Products API","../../.features-gen/api/features/api-automation.feature.spec.js","",""
"","1323","Example #2","web-chrome","Fri Mar 13 01:13:19 UTC 2026","passed","Fri Mar 13 01:13:20 UTC 2026","Web Automation > Scenario_3 - Can sort items by name on inventory page","../../.features-gen/web/features/web-automation.feature.spec.js","",""
"","235","Example #2","api","Fri Mar 13 01:13:09 UTC 2026","passed","Fri Mar 13 01:13:09 UTC 2026","Products API > Scenario_4 - Dynamic response time validation","../../.features-gen/api/features/api-automation.feature.spec.js","",""
"","691","Scenario_4 - Locked out user receives error message","web-chrome","Fri Mar 13 01:13:20 UTC 2026","passed","Fri Mar 13 01:13:21 UTC 2026","Web Automation","../../.features-gen/web/features/web-automation.feature.spec.js","",""
"","183","Scenario_1 - Retrieve all products with filtered fields","api","Fri Mar 13 01:13:08 UTC 2026","passed","Fri Mar 13 01:13:09 UTC 2026","Products API","../../.features-gen/api/features/api-automation.feature.spec.js","",""
