"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3197","Example #3","api","Mon Mar 09 01:15:15 UTC 2026","passed","Mon Mar 09 01:15:19 UTC 2026","Products API > Scenario_4 - Dynamic response time validation","../../.features-gen/api/features/api-automation.feature.spec.js","",""
"","5207","Example #2","api","Mon Mar 09 01:15:14 UTC 2026","passed","Mon Mar 09 01:15:20 UTC 2026","Products API > Scenario_4 - Fixed response time validation","../../.features-gen/api/features/api-automation.feature.spec.js","",""
"","383","Scenario_3 - Retrieve and partially update a product","api","Mon Mar 09 01:15:14 UTC 2026","passed","Mon Mar 09 01:15:14 UTC 2026","Products API","../../.features-gen/api/features/api-automation.feature.spec.js","",""
"","181","Example #2","api","Mon Mar 09 01:15:20 UTC 2026","passed","Mon Mar 09 01:15:20 UTC 2026","Products API > Scenario_4 - Invalid delay boundaries","../../.features-gen/api/features/api-automation.feature.spec.js","",""
"","11364","Example #2","web-chrome","Mon Mar 09 01:15:23 UTC 2026","passed","Mon Mar 09 01:15:34 UTC 2026","Web Automation > Scenario_2 - Add random item to cart and verify details","../../.features-gen/web/features/web-automation.feature.spec.js","",""
"","1199","Example #1","web-chrome","Mon Mar 09 01:15:21 UTC 2026","passed","Mon Mar 09 01:15:23 UTC 2026","Web Automation > Scenario_2 - Add random item to cart and verify details","../../.features-gen/web/features/web-automation.feature.spec.js","",""
"","183","Example #3","api","Mon Mar 09 01:15:20 UTC 2026","passed","Mon Mar 09 01:15:20 UTC 2026","Products API > Scenario_4 - Invalid delay boundaries","../../.features-gen/api/features/api-automation.feature.spec.js","",""
"","191","Example #3","api","Mon Mar 09 01:15:15 UTC 2026","passed","Mon Mar 09 01:15:15 UTC 2026","Products API > Scenario_4 - Fixed response time validation","../../.features-gen/api/features/api-automation.feature.spec.js","",""
"","840","Example #2","web-chrome","Mon Mar 09 01:15:26 UTC 2026","passed","Mon Mar 09 01:15:27 UTC 2026","Web Automation > Scenario_3 - Can sort items by name on inventory page","../../.features-gen/web/features/web-automation.feature.spec.js","",""
"","184","Example #1","api","Mon Mar 09 01:15:20 UTC 2026","passed","Mon Mar 09 01:15:20 UTC 2026","Products API > Scenario_4 - Invalid delay boundaries","../../.features-gen/api/features/api-automation.feature.spec.js","",""
"","399","Example #2","api","Mon Mar 09 01:15:15 UTC 2026","passed","Mon Mar 09 01:15:15 UTC 2026","Products API > Scenario_4 - Dynamic response time validation","../../.features-gen/api/features/api-automation.feature.spec.js","",""
"","815","Scenario_1 - Retrieve all products with filtered fields","api","Mon Mar 09 01:15:14 UTC 2026","passed","Mon Mar 09 01:15:14 UTC 2026","Products API","../../.features-gen/api/features/api-automation.feature.spec.js","",""
"","199","Example #1","api","Mon Mar 09 01:15:14 UTC 2026","passed","Mon Mar 09 01:15:14 UTC 2026","Products API > Scenario_4 - Fixed response time validation","../../.features-gen/api/features/api-automation.feature.spec.js","",""
"","667","Scenario_4 - Locked out user receives error message","web-chrome","Mon Mar 09 01:15:27 UTC 2026","passed","Mon Mar 09 01:15:28 UTC 2026","Web Automation","../../.features-gen/web/features/web-automation.feature.spec.js","",""
"","1026","Example #1","web-chrome","Mon Mar 09 01:15:25 UTC 2026","passed","Mon Mar 09 01:15:26 UTC 2026","Web Automation > Scenario_3 - Can sort items by name on inventory page","../../.features-gen/web/features/web-automation.feature.spec.js","",""
"","1416","Scenario_1 - Full checkout flow after removing an item from the cart","web-chrome","Mon Mar 09 01:15:28 UTC 2026","passed","Mon Mar 09 01:15:29 UTC 2026","Web Automation","../../.features-gen/web/features/web-automation.feature.spec.js","",""
"","293","Scenario_2 - Create a new product","api","Mon Mar 09 01:15:14 UTC 2026","passed","Mon Mar 09 01:15:14 UTC 2026","Products API","../../.features-gen/api/features/api-automation.feature.spec.js","",""
"","204","Example #1","api","Mon Mar 09 01:15:15 UTC 2026","passed","Mon Mar 09 01:15:15 UTC 2026","Products API > Scenario_4 - Dynamic response time validation","../../.features-gen/api/features/api-automation.feature.spec.js","",""
"","5199","Example #4","api","Mon Mar 09 01:15:19 UTC 2026","passed","Mon Mar 09 01:15:24 UTC 2026","Products API > Scenario_4 - Dynamic response time validation","../../.features-gen/api/features/api-automation.feature.spec.js","",""
